2025-05-01 01:11:53,899 - MainProcess - INFO - Starting Transformer model training and evaluation...
2025-05-01 01:12:15,131 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.002551
2025-05-01 01:12:15,132 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:12:16,319 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.002371
2025-05-01 01:12:16,320 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:12:16,347 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.004430
2025-05-01 01:12:16,347 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:12:17,539 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.001475
2025-05-01 01:12:17,540 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:12:17,559 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.005288
2025-05-01 01:12:17,560 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:12:18,737 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.000830
2025-05-01 01:12:18,761 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.007868
2025-05-01 01:12:25,220 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:25,230 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:28,904 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.017237
2025-05-01 01:12:28,904 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:28,952 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.035482
2025-05-01 01:12:28,953 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:30,153 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.003888
2025-05-01 01:12:30,154 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:30,223 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.008163
2025-05-01 01:12:30,223 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:31,365 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.003930
2025-05-01 01:12:31,365 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:31,467 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.006752
2025-05-01 01:12:31,468 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:32,603 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.003063
2025-05-01 01:12:32,603 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:32,735 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.003872
2025-05-01 01:12:32,735 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:12:33,821 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.000998
2025-05-01 01:12:33,991 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.002855
2025-05-01 01:12:40,713 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:41,058 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:44,523 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.005644
2025-05-01 01:12:44,523 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.300630
2025-05-01 01:12:44,523 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:44,523 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:45,800 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.223182
2025-05-01 01:12:45,801 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:45,810 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.001479
2025-05-01 01:12:45,811 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:47,074 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.091215
2025-05-01 01:12:47,075 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:47,114 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.000530
2025-05-01 01:12:47,114 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:48,349 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.102240
2025-05-01 01:12:48,350 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:48,420 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.000336
2025-05-01 01:12:48,420 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:12:49,618 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.019978
2025-05-01 01:12:49,672 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.000321
2025-05-01 01:12:57,613 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:12:57,632 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:13:01,596 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.069739
2025-05-01 01:13:01,596 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:13:01,610 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.062172
2025-05-01 01:13:01,610 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:13:02,952 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.013158
2025-05-01 01:13:02,953 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:13:02,962 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.023178
2025-05-01 01:13:02,962 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:13:04,352 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.006558
2025-05-01 01:13:04,352 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:13:04,364 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.004394
2025-05-01 01:13:04,365 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:13:05,781 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.004759
2025-05-01 01:13:05,781 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.003430
2025-05-01 01:13:05,781 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:13:05,781 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:13:07,168 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.005106
2025-05-01 01:13:07,177 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.003356
2025-05-01 01:13:14,744 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:14,757 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:18,778 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.146725
2025-05-01 01:13:18,778 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:18,973 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.224955
2025-05-01 01:13:18,973 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:20,297 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.056178
2025-05-01 01:13:20,297 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:20,477 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.022778
2025-05-01 01:13:20,477 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:21,689 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.020114
2025-05-01 01:13:21,689 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:21,949 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.009228
2025-05-01 01:13:21,950 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:23,088 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.016425
2025-05-01 01:13:23,088 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:23,451 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.004118
2025-05-01 01:13:23,452 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 1000)
2025-05-01 01:13:24,467 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.025302
2025-05-01 01:13:24,849 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 1000) - Loss: 0.002747
2025-05-01 01:13:28,626 - MainProcess - INFO - Starting epoch 1 for NVDA (Hyperparameter Set 1, initial training)
2025-05-01 01:13:29,341 - MainProcess - ERROR - NVDA failed: pop from empty list
2025-05-01 01:13:29,478 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:13:29,479 - MainProcess - INFO - Starting epoch 1 for GOOG (Hyperparameter Set 1, initial training)
2025-05-01 01:13:33,166 - MainProcess - INFO - Finished epoch 1 for GOOG (Hyperparameter Set 1, initial training) - Loss: 0.049452
2025-05-01 01:13:33,167 - MainProcess - INFO - Starting epoch 2 for GOOG (Hyperparameter Set 1, initial training)
2025-05-01 01:13:33,516 - MainProcess - INFO - Finished epoch 1 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.109028
2025-05-01 01:13:33,517 - MainProcess - INFO - Starting epoch 2 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:13:34,226 - MainProcess - INFO - Finished epoch 2 for GOOG (Hyperparameter Set 1, initial training) - Loss: 0.003068
2025-05-01 01:13:34,227 - MainProcess - INFO - Starting epoch 3 for GOOG (Hyperparameter Set 1, initial training)
2025-05-01 01:13:34,750 - MainProcess - INFO - Finished epoch 2 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.011642
2025-05-01 01:13:34,750 - MainProcess - INFO - Starting epoch 3 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:13:35,179 - MainProcess - INFO - Finished epoch 3 for GOOG (Hyperparameter Set 1, initial training) - Loss: 0.001467
2025-05-01 01:13:35,180 - MainProcess - INFO - Starting epoch 4 for GOOG (Hyperparameter Set 1, initial training)
2025-05-01 01:13:36,018 - MainProcess - INFO - Finished epoch 3 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.006319
2025-05-01 01:13:36,019 - MainProcess - INFO - Starting epoch 4 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:13:36,154 - MainProcess - INFO - Finished epoch 4 for GOOG (Hyperparameter Set 1, initial training) - Loss: 0.000913
2025-05-01 01:13:36,154 - MainProcess - INFO - Starting epoch 5 for GOOG (Hyperparameter Set 1, initial training)
2025-05-01 01:13:37,103 - MainProcess - INFO - Finished epoch 5 for GOOG (Hyperparameter Set 1, initial training) - Loss: 0.000619
2025-05-01 01:13:37,424 - MainProcess - INFO - Finished epoch 4 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.003701
2025-05-01 01:13:37,424 - MainProcess - INFO - Starting epoch 5 for AMZN (Hyperparameter Set 1, initial training)
2025-05-01 01:13:38,333 - MainProcess - INFO - Finished epoch 5 for AMZN (Hyperparameter Set 1, initial training) - Loss: 0.002052
2025-05-01 01:13:45,093 - MainProcess - INFO - Starting epoch 1 for GOOG (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:46,561 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:47,840 - MainProcess - INFO - Finished epoch 1 for GOOG (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.207647
2025-05-01 01:13:47,841 - MainProcess - INFO - Starting epoch 2 for GOOG (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:49,053 - MainProcess - INFO - Finished epoch 2 for GOOG (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.138215
2025-05-01 01:13:49,053 - MainProcess - INFO - Starting epoch 3 for GOOG (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:49,408 - MainProcess - INFO - Finished epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.121764
2025-05-01 01:13:49,408 - MainProcess - INFO - Starting epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:50,054 - MainProcess - INFO - Finished epoch 3 for GOOG (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.057718
2025-05-01 01:13:50,054 - MainProcess - INFO - Starting epoch 4 for GOOG (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:50,455 - MainProcess - INFO - Finished epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.020663
2025-05-01 01:13:50,456 - MainProcess - INFO - Starting epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:50,931 - MainProcess - INFO - Finished epoch 4 for GOOG (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.027905
2025-05-01 01:13:50,931 - MainProcess - INFO - Starting epoch 5 for GOOG (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:51,572 - MainProcess - INFO - Finished epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.007285
2025-05-01 01:13:51,573 - MainProcess - INFO - Starting epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:51,966 - MainProcess - INFO - Finished epoch 5 for GOOG (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.015159
2025-05-01 01:13:52,592 - MainProcess - INFO - Finished epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.005319
2025-05-01 01:13:52,593 - MainProcess - INFO - Starting epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 200)
2025-05-01 01:13:53,491 - MainProcess - INFO - Finished epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 200) - Loss: 0.001618
2025-05-01 01:13:59,365 - MainProcess - INFO - Starting epoch 1 for GOOG (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:02,269 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:02,812 - MainProcess - INFO - Finished epoch 1 for GOOG (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.103840
2025-05-01 01:14:02,813 - MainProcess - INFO - Starting epoch 2 for GOOG (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:04,309 - MainProcess - INFO - Finished epoch 2 for GOOG (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.020075
2025-05-01 01:14:04,310 - MainProcess - INFO - Starting epoch 3 for GOOG (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:05,198 - MainProcess - INFO - Finished epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.051159
2025-05-01 01:14:05,198 - MainProcess - INFO - Starting epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:05,507 - MainProcess - INFO - Finished epoch 3 for GOOG (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.009880
2025-05-01 01:14:05,508 - MainProcess - INFO - Starting epoch 4 for GOOG (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:06,526 - MainProcess - INFO - Finished epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.024261
2025-05-01 01:14:06,526 - MainProcess - INFO - Starting epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:06,609 - MainProcess - INFO - Finished epoch 4 for GOOG (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.006719
2025-05-01 01:14:06,609 - MainProcess - INFO - Starting epoch 5 for GOOG (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:07,750 - MainProcess - INFO - Finished epoch 5 for GOOG (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.007653
2025-05-01 01:14:07,890 - MainProcess - INFO - Finished epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.005391
2025-05-01 01:14:07,891 - MainProcess - INFO - Starting epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:08,894 - MainProcess - INFO - Finished epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.003895
2025-05-01 01:14:08,894 - MainProcess - INFO - Starting epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:14:09,861 - MainProcess - INFO - Finished epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.002478
2025-05-01 01:14:15,349 - MainProcess - INFO - Starting epoch 1 for GOOG (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:18,096 - MainProcess - INFO - Finished epoch 1 for GOOG (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.021411
2025-05-01 01:14:18,097 - MainProcess - INFO - Starting epoch 2 for GOOG (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:18,125 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:18,950 - MainProcess - INFO - Finished epoch 2 for GOOG (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.007007
2025-05-01 01:14:18,952 - MainProcess - INFO - Starting epoch 3 for GOOG (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:20,510 - MainProcess - INFO - Finished epoch 3 for GOOG (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.005382
2025-05-01 01:14:20,510 - MainProcess - INFO - Starting epoch 4 for GOOG (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:20,989 - MainProcess - INFO - Finished epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.296368
2025-05-01 01:14:20,989 - MainProcess - INFO - Starting epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:21,717 - MainProcess - INFO - Finished epoch 4 for GOOG (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.001167
2025-05-01 01:14:21,717 - MainProcess - INFO - Starting epoch 5 for GOOG (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:22,352 - MainProcess - INFO - Finished epoch 2 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.037212
2025-05-01 01:14:22,353 - MainProcess - INFO - Starting epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:22,834 - MainProcess - INFO - Finished epoch 5 for GOOG (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.001330
2025-05-01 01:14:23,478 - MainProcess - INFO - Finished epoch 3 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.034452
2025-05-01 01:14:23,479 - MainProcess - INFO - Starting epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:24,432 - MainProcess - INFO - Finished epoch 4 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.013908
2025-05-01 01:14:24,432 - MainProcess - INFO - Starting epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:14:25,359 - MainProcess - INFO - Finished epoch 5 for AMZN (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.009921
2025-05-01 01:14:29,188 - MainProcess - INFO - Starting epoch 1 for GOOG (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:14:31,682 - MainProcess - INFO - Finished epoch 1 for GOOG (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.048164
2025-05-01 01:14:31,682 - MainProcess - INFO - Starting epoch 2 for GOOG (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:14:32,327 - MainProcess - INFO - Starting epoch 1 for AMZN (Hyperparameter Set 1, walk-forward step 800)
2025-05-01 01:14:32,747 - MainProcess - INFO - Finished epoch 2 for GOOG (Hyperparameter Set 1, walk-forward step 800) - Loss: 0.007371
